FID,Join_Count,TARGET_FID,Id,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,pid,Lon,Lat
0,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.4904715,31.32487446
1,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.495415,31.3255864
2,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5003958,31.32602438
3,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5053766,31.32646237
4,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5103574,31.32690035
5,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5153382,31.32733834
6,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5203185,31.32778096
7,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5252878,31.32833409
8,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.530269,31.32875915
9,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5352551,31.3291325
10,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5063323,31.30502188
11,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5113034,31.30555627
12,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.516282,31.30600165
13,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5212561,31.30650936
14,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5262369,31.30694361
15,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5312015,31.30741585
16,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5361946,31.30767825
17,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.541171,31.30814274
18,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.515153,31.29674555
19,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5201468,31.29654901
20,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5251456,31.29665636
21,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5301428,31.2968247
22,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5351351,31.29702979
23,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5401238,31.29736618
24,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.540142,31.32016278
25,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5351645,31.3196883
26,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5301871,31.31921383
27,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5252097,31.31873936
28,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.530855,31.31458948
29,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.535825,31.31509279
30,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5453416,31.28238622
31,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5406803,31.28059769
32,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5357266,31.27991896
33,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5335809,31.27440952
34,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5385757,31.2746357
35,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5435657,31.27494614
36,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5516891,31.25104345
37,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5469521,31.24945952
38,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5439042,31.24577894
39,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5398988,31.24320434
40,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5487944,31.2607353
41,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5438419,31.2602644
42,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5388786,31.25985401
43,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5408646,31.35800109
44,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5446751,31.35476386
45,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5483798,31.35140657
46,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5517339,31.34772046
47,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5549333,31.34388082
48,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5442623,31.28795519
49,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5407776,31.33124887
